A_PE_Analyse concurrentielle/sectorielle
A_PE_Atelier thématique
A_PE_Communication/RS
A_PE_Coordi dossiers d'acc en interne
A_PE_Développement des services/outils liés à l'acc
A_PE_Diagnostic du projet
A_PE_Diversification de marché
A_PE_EEN
A_PE_Etude de marché qualitative
A_PE_Formation
A_PE_Fourniture info générale
A_PE_Gestion des emails relatifs aux projets suivis
A_PE_Internationalisation
A_PE_Lecture/veille socio économique
A_PE_Partenariat
A_PE_Participation à des séances/ateliers/salons de prospection/evts réseaux
A_PE_Participation aux ateliers de la Sowalfin
A_PE_Première rencontre
A_PE_Proposition de valeur/ clients
A_PE_Rédaction de contrat et plan d'action
A_PE_Relais & Suivi
A_PE_Renforcement pôle d’excellence Novalis, Galaxia, Campus ULG
A_PE_Réorientation
A_PE_RH
A_PE_Stratégie/leadership
A_PE_Suivi dossier
A_PE_Testing
A_PE_Transition vers le futur
A_PE_Veille nouvelles tendances
N/A
PAE_Bâtiments/Interventions techniques
PAE_Locations/Admin
PAE_Locations/Clients
PAE_Parcs/Entretien EV
PAE_Ventes/Admin
PAE_Ventes/Clients
PROS_Contact direct
PROS_Mailing publipostage
PROS_Offre OFI
PROS_RS/Campagne digitale
PROS_Salon
